שם יישוב,סמל יישוב,תעתיק,מחוז,נפה,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2019,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה ממוצע,ועדת תכנון,מרחב משטרה,שנה,שם יישוב באנגלית,אשכול רשויות מקומיות
גן חיים,239,GAN HAYYIM,4,42,421,20,141,1,816,814,803,2,1935,310,1,1912867798,61,417,10002133,2019,Gan Hayyim,
גן יאשיה,734,GAN YOSHIYYA,4,41,412,16,141,1,997,997,983,,1949,310,1,1996469519,32,409,15000060,2019,Gan Yoshiyya,
גן יבנה,166,GAN YAVNE,4,44,441,99,143,1,23869,23805,23018,64,1931,160,,1724863297,39,429,10001821,2019,Gan Yavne,
גן נר,1274,GAN NER,2,23,232,8,,1,2671,2666,2596,5,1987,190,,2320271533,155,204,10004394,2019,Gan Ner,213
גן שורק,311,GAN SOREQ,4,44,442,27,143,1,694,694,690,,1950,310,1,1775365029,37,456,15002488,2019,Gan Soreq,
גן שלמה,144,GAN SHELOMO,4,44,441,28,143,1,579,579,535,,1927,330,15,1810764287,45,456,15002488,2019,Gan Shelomo,420
גן שמואל,72,GAN SHEMU'EL,3,32,324,14,,1,933,932,914,1,1913,330,15,1955870648,23,351,10004261,2019,Gan Shemu'el,
גנות,836,GANNOT,4,43,432,40,133,1,588,588,585,,1953,310,10,1839465836,27,425,10002207,2019,Gannot,
גנות הדר,549,GANNOT HADAR,4,41,411,18,141,1,971,971,957,,1964,350,,1908469191,49,412,15000060,2019,Gannot Hadar,
גני הדר,1103,GANNE HADAR,4,43,432,30,143,1,338,338,334,,1958,350,,1862764289,89,426,10002241,2019,Ganne Hadar,
גני טל,1371,GANNE TAL,4,44,441,31,143,1,867,867,867,,2010,370,2,1803963293,78,456,15002488,2019,Ganne Tal                                         ,420
גני יוחנן,862,GANNE YOHANAN,4,44,441,30,143,1,622,622,614,,1950,310,1,1848064064,63,426,10002241,2019,Ganne Yohanan,
גני מודיעין,3823,GANNE MODI'IN,7,74,,73,,1,2603,2603,2594,,1996,190,,2017564847,236,711,10004054,2019,Ganne Modi'in,710
גני עם,218,GANNE AM,4,42,421,20,142,1,242,242,240,,1934,350,,1908667313,34,417,10002133,2019,Ganne Am,
גני תקווה,229,GANNE TIQWA,4,42,422,99,132,1,20398,20386,20087,12,1953,160,,1883666302,74,428,10001516,2019,Ganne Tiqwa,
געש,842,GA'ASH,4,41,411,19,141,1,820,820,805,,1951,330,15,1836668178,29,401,15000060,2019,Ga'ash,
געתון,463,GA'TON,2,24,243,4,,1,691,689,675,2,1948,330,15,2204576792,345,201,10004302,2019,Ga'ton,212
גפן,39,GEFEN,1,11,112,26,,1,411,411,407,,1955,310,2,1885762761,159,151,15000597,2019,Gefen,
גרופית,1129,GEROFIT,6,62,625,53,,1,249,247,233,2,1963,330,15,2059442806,118,608,10001955,2019,Gerofit,
גשור,4022,GESHUR,2,29,294,71,,1,280,280,270,,1971,330,15,2674574724,347,219,10004579,2019,Geshur,211
גשר,305,GESHER,2,23,231,7,,1,427,425,408,2,1939,330,15,2519972518,-197,202,10004568,2019,Gesher,214
גשר הזיו,574,GESHER HAZIW,2,24,245,4,241,1,1614,1605,1563,9,1949,330,15,2108077155,20,201,10004302,2019,Gesher HaZiw,212
גת (קיבוץ),340,GAT(QIBBUZ),6,61,611,35,,1,869,869,840,,1941,330,15,1805861511,140,632,10001813,2019,Gat(Qibbuz),420
גת רימון,128,GAT RIMMON,4,42,422,20,132,1,326,326,319,,1926,350,,1888366395,68,417,10002116,2019,Gat Rimmon,
דאלית אל-כרמל,494,DALIYAT AL-KARMEL,3,31,311,99,223,2,17652,44,36,17608,,270,,2050573325,420,356,10004171,2019,Daliyat Al-Karmel,
דבורה,146,DEVORA,2,23,234,8,,1,216,216,213,,1956,310,1,2250471761,69,204,10004394,2019,Devora,213
דבורייה,489,DABURIYYA,2,23,237,99,,2,10510,9,5,10501,,270,,2351373300,159,251,10004394,2019,Daburiyya,213
דבירה,849,DEVIRA,6,62,623,41,341,1,1007,1004,980,3,1951,330,15,1831659134,306,625,10001937,2019,Devira,620
דברת,407,DAVERAT,2,23,234,9,,1,494,494,463,,1946,330,15,2330672817,169,254,10004394,2019,Daverat,213
דגניה א',62,DEGANYA ALEF,2,22,221,6,,1,528,527,524,1,1909,330,15,2541873489,-200,214,10004552,2019,Deganya Alef,214
דגניה ב',79,DEGANYA BET,2,22,221,6,,1,675,675,665,,1920,330,15,2542173403,-199,214,10004552,2019,Deganya Bet,214
"דוב""ב",1067,DOVEV,2,24,244,2,,1,482,482,479,,1963,310,1,2383977297,769,209,10004528,2019,Dovev,211
דולב,3747,DOLEV,7,74,,73,,1,1448,1448,1448,,1983,370,11,2127464816,556,711,10004054,2019,Dolev,710
דור,738,DOR,3,32,321,15,243,1,443,443,437,,1949,310,1,1929172372,4,303,10004333,2019,Dor,
דורות,336,DOROT,6,61,614,37,,1,843,841,814,2,1941,330,15,1663560173,105,651,10001829,2019,Dorot,620
דחי,475,DAHI,2,23,234,66,,2,703,,,703,,450,,2325872519,414,251,10004394,2019,Dahi,213
דייר אל-אסד,490,DEIR AL-ASAD,2,24,242,99,,2,12514,5,5,12509,,270,,2254176009,469,260,15002358,2019,Deir Al-Asad,210
דייר חנא,492,DEIR HANNA,2,24,241,99,,2,10338,13,,10325,,270,,2348075200,225,262,10004513,2019,Deir Hanna,
דייר ראפאת,493,DEIR RAFAT,1,11,112,26,444,2,96,,,96,,440,,1950863156,247,151,15000597,2019,Deir Rafat,
דימונה,2200,DIMONA,6,62,626,0,,1,34499,34282,31003,217,1955,160,,2033055318,453,607,10001918,2019,Dimona,610
דישון,2063,DISHON,2,21,212,55,,1,332,331,325,1,1953,310,6,2488277637,444,253,10004591,2019,Dishon,211
דלייה,300,DALIYYA,2,23,236,13,,1,816,815,758,1,1939,330,15,2072972171,201,254,10004411,2019,Daliyya,213
דלתון,431,DALTON,2,21,212,2,,1,862,862,862,,1950,310,2,2460576912,807,209,10004528,2019,Dalton ,211
דלתון,1709, ,2,21,212,2,,,,,,,,520,,2451577020,846,209,10004528,2019,,211
דמיידה,1317,DEMEIDE,2,24,241,56,241,2,515,,,515,,450,,2216374673,203,205,10004513,2019,Demeide,210
דן,303,DAN,2,21,211,1,,1,745,744,723,1,1939,330,15,2612879396,175,253,10004591,2019,Dan,211
דפנה,302,DAFNA,2,21,211,1,,1,962,961,954,1,1939,330,15,2599179280,142,253,10004591,2019,Dafna,211
דקל,1241,DEQEL,6,62,622,38,,1,351,351,343,,1982,310,10,1377356740,103,651,10001893,2019,Deqel,620
"דרום השרון מ""א 18",1881,,4,42,421,18,,,,,,,,530,,,,,,2019,,
"דרום השרון מ""א 20",1882,,4,42,421,20,,,,,,,,530,,1899068100,,,,2019,,
"דרום השרון של""ש",1885,,4,42,421,,,,,,,,,530,,1960067130,,,,2019,,
דרום יהודה,1998,,7,77,,,,,,,,,,530,,,,,,2019,,
דריג'את,1349,DERIG'AT,6,62,623,69,,2,1243,1,,1242,,450,,2072057882,558,624,10001937,2019,Derig'at,610
האון,702,HAON,2,22,221,6,,1,181,181,166,,1949,330,15,2585973681,-189,214,10004552,2019,HaOn,214
הבונים,675,HABONIM,3,32,321,15,243,1,368,368,367,,1949,320,15,1939572694,17,303,10004333,2019,HaBonim,
הגושרים,356,HAGOSHERIM,2,21,211,1,,1,820,820,782,,1948,330,15,2585379177,100,253,10004591,2019,HaGosherim,211
הדר עם,191,HADAR AM,4,41,411,16,141,1,675,675,670,,1933,310,10,1908869507,27,409,15000060,2019,Hadar Am ,
הוד השרון,9700,HOD HASHARON,4,42,421,0,131,1,63175,63141,61733,34,1924,150,,1901867323,37,423,10002133,2019,Hod HaSharon,
הודיות,1322,HODAYOT,2,22,222,3,,1,324,324,228,,1959,340,,2410774379,285,206,10004552,2019,Hodayot,214
הודייה,726,HODIYYA,6,61,614,36,,1,548,547,533,1,1949,310,1,1660062041,52,633,10001821,2019,Hodiyya,
הוואשלה (שבט),1169,HAWASHLA,6,62,623,,,3,,,,,,460,,2020055900,,699,10001918,2019,Al-Hawashila,
הוזייל (שבט),956,HUZAYYEL,6,62,623,,,3,,,,,,460,,1762059080,,699,10001946,2019,Al-Huzayyil,
הושעיה,1186,HOSHA'AYA,2,23,237,9,,1,2051,2051,2051,,1981,190,2,2276174046,223,254,15002369,2019,Hosha'aya,213
הזורע,250,HAZOREA,2,23,235,13,,1,914,914,872,,1936,330,15,2114872773,64,254,10004411,2019,HaZorea,213
הזורעים,307,HAZORE'IM,2,22,222,3,,1,1059,1059,1057,,1939,310,2,2473873908,-61,206,10004552,2019,HaZore'im,214
החותרים,434,HAHOTERIM,3,32,321,15,223,1,859,858,837,1,1948,330,15,1962473978,15,303,10004710,2019,HaHoterim,
היוגב,684,HAYOGEV,2,23,234,9,,1,711,711,703,,1949,310,1,2194972416,86,254,10004411,2019,HaYogev,213
הילה,1208,HILLA,2,24,243,52,,1,588,587,572,1,1980,370,19,2231777125,489,255,10004484,2019,Hilla,212
המעפיל,377,HAMA'PIL,4,41,412,16,141,1,868,868,860,,1945,330,15,1985969829,33,409,15000060,2019,HaMa'pil,
המרכז למחקר-נחל שורק,1751, ,4,44,442,,143,,,,,,,520,,1718264583,21,,15002488,2019,,
הסוללים,677,HASOLELIM,2,23,237,9,242,1,933,930,913,3,1949,330,6,2225673956,170,254,10004426,2019,HaSolelim ,213
העוגן,423,HAOGEN,4,41,411,16,141,1,922,922,893,,1947,330,15,1930669651,15,409,15000060,2019,HaOgen,
"הערבה מ""א 51",1944,,6,62,625,51,,,,,,,,530,,,,,,2019,,
"הערבה מ""א 53",1945,,6,62,625,53,,,,,,,,530,,2062043180,,,,2019,,
"הערבה מ""א 54",1946,,6,62,625,54,,,,,,,,530,,2159050670,,,,2019,,610
הר אדר,3769,HAR ADAR,7,74,,99,445,1,4088,4084,3980,4,1986,190,,2123263711,825,720,10002475,2019,Har Adar,710
"הר אלכסנדר מ""א 14",1869,,3,32,323,14,,,,,,,,530,,2050071490,,,,2019,,
"הר אלכסנדר מ""א 45",1868,,3,32,323,45,,,,,,,,530,,2009071920,,,,2019,,
"הר אלכסנדר של""ש",1870,,3,32,323,,,,,,,,,530,,2105071460,,,,2019,,
הר גילה,3603,HAR GILLO,7,76,,76,445,1,1635,1616,1571,19,1972,370,19,2163962544,890,714,10002521,2019,Har Gillo,
"הר הנגב הדרומי מ""א 48",1953,,6,62,627,48,,,,,,,,530,,1851048010,,,,2019,,610
"הר הנגב הדרומי מ""א 53",1951,,6,62,627,53,,,,,,,,530,,1883044330,,,,2019,,
"הר הנגב הדרומי מ""א 54",1952,,6,62,627,54,,,,,,,,530,,2040048240,,,,2019,,610
"הר הנגב הצפוני מ""א 48",1948,,6,62,626,48,,,,,,,,530,,1728052230,,,,2019,,610
"הר הנגב הצפוני מ""א 51",1949,,6,62,626,51,,,,,,,,530,,2189054410,,,,2019,,
"הר הנגב הצפוני מ""א 53",1947,,6,62,626,53,,,,,,,,530,,1658047710,,,,2019,,
"הר הנגב הצפוני מ""א 54",1950,,6,62,626,54,,,,,,,,530,,2054052480,,,,2019,,610
הר עמשא,1261,HAR AMASA,6,62,623,51,,1,198,193,169,5,1983,330,,2097158352,823,656,10001937,2019,Har Amasa,
הראל,464,HAR'EL,1,11,112,26,444,1,264,264,249,,1948,330,15,1953163517,200,151,15000597,2019,Har'el,
הרדוף,1249,HARDUF,2,23,237,9,242,1,1094,1087,1035,7,1982,330,15,2165274100,207,254,10004497,2019,Harduf,213
"הרי יהודה מ""א 26",1801,,1,11,111,26,,,,,,,,530,,2067063030,,,,2019,,
"הרי יהודה של""ש",1802,,1,11,111,,,,,,,,,530,,,,,,2019,,
הרי נצרת-תירען,1823,,2,23,237,,,,,,,,,530,,2351073910,,,,2019,,
"הרי נצרת-תירען מ""א 9",1839,,2,23,237,9,,,,,,,,530,,2227073890,,,,2019,,213
הרצלייה,6400,HERZLIYYA,5,51,511,0,121,1,97470,97308,92385,162,1924,150,,1845367521,38,504,10001605,2019,Herzliyya,
הררית,1203,HARARIT,2,24,241,56,,1,543,543,528,,1980,370,7,2346375011,479,205,10004513,2019,Hararit,210
השומרון,1999,,7,71,,,,,,,,,,530,,2235665137,,,,2019,,
ורד יריחו,3639,WERED YERIHO,7,75,,74,,1,341,341,336,,1980,310,10,2411063710,-157,713,10003314,2019,Wered Yeriho,710
ורדון,1133,WARDON,6,61,611,35,,1,276,276,268,,1968,350,,1793861911,100,632,10001813,2019,Wardon,420
זבארגה (שבט),2742,ZABARGA,6,62,623,,,3,,,,,,460,,2032057170,435,699,15003711,2019,Az-Zabarika,
זבדיאל,815,ZAVDI'EL,6,61,611,34,,1,559,559,559,,1950,310,8,1773161858,90,631,10001813,2019,Zavdi'el,
זוהר,44,ZOHAR,6,61,612,50,,1,350,350,348,,1956,310,10,1708861156,117,634,10001813,2019,Zohar,
זיקים,584,ZIQIM,6,61,614,36,,1,852,836,797,16,1949,330,15,1546761323,25,633,10001829,2019,Ziqim,
זיתן,788,ZETAN,4,43,432,40,133,1,1064,1064,1061,,1950,310,1,1897765366,40,425,10002261,2019,Zetan,
זכרון יעקב,9300,ZIKHRON YA'AQOV,3,32,322,99,,1,23206,23153,22314,53,1882,160,,1958171960,78,353,10004333,2019,Zikhron Ya'aqov,
זכריה,799,ZEKHARYA,1,11,112,26,,1,1124,1124,1097,,1950,310,1,1948662416,269,151,15000597,2019,Zekharya,
זמר,1290,ZEMER,4,41,412,99,141,2,7094,5,,7089,,280,,2035169685,85,458,10002155,2019,Zemer,
זמרת,1065,ZIMRAT,6,62,621,39,,1,624,623,622,1,1957,310,2,1574959529,122,651,10001930,2019,Zimrat,620
זנוח,816,ZANOAH,1,11,112,26,444,1,525,510,501,15,1950,310,8,2000062667,291,151,15000597,2019,Zanoah,
זרועה,2064,ZERU'A,6,62,621,39,,1,468,467,460,1,1953,310,2,1642959642,134,651,10001930,2019,Zeru'a,620
זרזיר,975,ZARZIR,2,23,237,99,242,2,8119,21,14,8098,,280,,2211273670,184,254,10004411,2019,Zarzir,
זרחיה,818,ZERAHYA,6,61,611,34,,1,729,729,729,,1950,310,2,1759462110,72,631,10001821,2019,Zerahya,
ח'ואלד,1321,KHAWALED,3,31,311,12,222,2,710,,,710,,450,,2131074174,63,301,10004207,2019,Khawaled,
ח'ואלד (שבט),986,KHAWALED,2,25,237,,,3,,,,,,460,,2150174051,,299,10004207,2019,Khawalid     /  Al-Khawalid,
חבצלת השרון,235,HAVAZZELET HASHARON,4,41,411,16,141,1,482,482,471,,1935,310,10,1872969635,23,409,10002089,2019,Havazzelet HaSharon,
חבר,1110,HEVER,2,23,234,8,,1,617,617,590,,1958,350,,2250871708,70,204,10004394,2019,Hever,213
חגור,717,HAGOR,4,42,421,20,142,1,1162,1162,1148,,1949,310,1,1951767159,35,417,15000658,2019,Hagor,
חגי,3764,HAGGAY,7,77,,78,,1,667,667,667,,1984,370,11,2076160011,854,715,15003512,2019,Haggay,
חגלה,205,HOGLA,4,41,411,16,141,1,865,865,860,,1933,310,1,1932769927,19,409,15000060,2019,Hogla,
חד-נס,4026,HAD-NES,2,29,293,71,,1,810,810,772,,1989,370,9,2604175924,-8,219,10004579,2019,Had-Nes,211
חדיד,618,HADID,4,43,432,25,142,1,875,875,872,,1950,310,2,1936965290,66,424,10002168,2019,Hadid,
חדרה,6500,HADERA,3,32,324,0,,1,97334,96431,89348,903,1890,150,,1925470466,19,302,10004261,2019,Hadera,
חוג'ייראת (ד'הרה) (שבט),948,HUJEIRAT (DAHRA),2,24,241,56,,3,,,,,,460,,2278574887,,299,10004513,2019,Al-Hujayrat (Zahra),210
חולדה,160,HULDA,4,43,432,30,143,1,1162,1162,1141,,1930,330,15,1889863766,119,426,10002241,2019,Hulda,
חולון,6600,HOLON,5,53,513,0,123,1,196283,195983,179990,300,1940,140,,1792565823,33,505,10001430,2019,Holon,
חולית,1239,HOLIT,6,62,622,38,,1,169,164,156,5,1980,330,15,1357357134,76,651,10001893,2019,Holit,620
חולתה,253,HULATA,2,21,211,1,,1,700,699,682,1,1937,330,15,2573277301,81,253,10004540,2019,Hulata,211
חוסן,662,HOSEN,2,24,243,52,,1,1135,1133,1094,2,1949,310,9,2281476697,478,255,10004484,2019,Hosen,212
חוסנייה,1332,HUSSNIYYA,2,24,242,56,,2,773,5,,768,,450,,2302975617,293,205,10004513,2019,Hussniyya,210
"חוף הכרמל מ""א 15",1864,,3,32,321,15,,,,,,,,530,,1947072760,,,,2019,,
חופית,115,HOFIT,4,41,411,16,141,1,774,774,766,,1955,350,,1883669905,16,409,15000060,2019,Hofit,
חוקוק,374,HUQOQ,2,22,221,6,,1,612,606,567,6,1945,330,15,2466775401,4,214,10004552,2019,Huqoq,214
חורה,1303,HURA,6,62,623,99,342,2,22337,20,14,22317,,260,,1938957840,416,652,10001937,2019,Hura,610
חורפיש,496,HURFEISH,2,24,244,99,,2,6410,1,,6409,,280,,2326876916,674,258,10004484,2019,Hurfeish,212
חורשים,355,HORESHIM,4,42,421,20,142,1,335,330,320,5,1955,330,15,1974467160,78,417,15000658,2019,Horeshim,
חזון,1047,HAZON,2,21,214,2,,1,306,306,306,,1969,310,2,2372775686,442,209,10004465,2019,Hazon,211
חיבת ציון,219,HIBBAT ZIYYON,4,41,411,16,141,1,726,726,724,,1933,310,7,1919970042,30,409,15000060,2019,Hibbat Ziyyon,
חיננית,3643,HINNANIT,7,71,,72,,1,1411,1409,1247,2,1981,370,13,2159770970,395,710,15004488,2019,Hinnanit,
חיפה,4000,HAIFA,3,31,311,0,210,4,285317,251955,216402,33362,ותיק                ,130,,2011274544,97,304,10004171,2019,Haifa,
חירות,162,HERUT,4,41,411,18,141,1,1298,1292,1284,6,1930,310,1,1921568301,60,412,15000060,2019,Herut,
חלוץ,1272,HALUZ,2,24,243,56,,1,536,535,526,1,1985,370,13,2295476170,734,205,15002358,2019,Haluz,210
חלץ,820,HELEZ,6,61,614,36,,1,455,451,450,4,1950,310,1,1676360965,80,633,10001829,2019,Helez,
"חמ""ד",801,HEMED,4,43,432,40,133,1,1316,1316,1312,,1950,310,2,1851165842,25,425,10002207,2019,Hemed,
חמאם,993,HAMAM,2,22,221,65,,2,1504,2,2,1502,,450,,2461974838,-104,251,10004552,2019,Hamam,214
חמדיה,343,HAMADYA,2,23,231,7,,1,381,379,373,2,1942,330,15,2490971407,-169,202,10004568,2019,Hamadya,214
חמדת,3646,HEMDAT,7,75,,75,,1,296,296,296,,1980,370,11,2497768423,148,712,10003299,2019,Hemdat,710
חמרה,3609,HAMRA,7,75,,75,,1,173,173,165,,1971,310,10,2412967837,-46,712,10003299,2019,Hamra,710
חניאל,807,HANNI'EL,4,41,411,16,141,1,923,923,902,,1950,310,1,1954169328,31,409,15000060,2019,Hanni'el,
חניתה,280,HANITA,2,24,244,4,,1,755,754,726,1,1938,330,15,2166577698,340,201,10004302,2019,Hanita,212
חנתון,1257,HANNATON,2,23,237,9,241,1,984,983,976,1,1984,330,15,2232574324,188,254,10004497,2019,Hannaton,213
חספין,4005,HASPIN,2,29,294,71,,1,2055,2055,2053,,1973,190,,2746275023,419,219,10004579,2019,Haspin,211
חפץ חיים,363,HAFEZ HAYYIM,4,44,441,31,143,1,558,558,558,,1944,330,8,1811563304,76,456,15002488,2019,Hafez Hayyim,420
חפצי-בה,90,HEFZI-BAH,2,23,232,8,,1,732,732,704,,1922,330,15,2402171382,-77,204,10004568,2019,Hefzi-Bah,213
חצב,700,HAZAV,6,61,611,33,143,1,1486,1486,1467,,1949,310,1,1782763212,62,616,10001821,2019,Hazav,420
חצבה,13,HAZEVA,6,62,625,54,,1,620,610,575,10,1965,310,1,2266751976,-156,657,10001918,2019,Hazeva,610
חצור-אשדוד,406,HAZOR-ASHDOD,6,61,611,33,143,1,653,653,628,,1937,330,15,1735963120,45,616,10001821,2019,Hazor-Ashdod,420
חצור הגלילית,2034,HAZOR HAGELILIT,2,21,213,99,,1,9271,9234,9010,37,1953,180,,2511776534,431,259,10004540,2019,Hazor HaGelilit,211
חצרים,397,HAZERIM,6,62,623,41,344,1,852,852,832,,1946,330,15,1726857216,240,625,10001900,2019,Hazerim,620
חרב לאת,422,HEREV LE'ET,4,41,411,16,141,1,972,972,953,,1947,310,10,1924070091,29,409,15000060,2019,Herev Le'Et,
חרוצים,1024,HARUZIM,4,41,411,19,141,1,846,846,837,,1951,350,,1874468161,45,401,15000060,2019,Haruzim,
חריש,1247,HARISH,3,32,323,99,,1,13232,13031,12131,201,1982,170,,2044270746,115,307,10004233,2019,Harish,
"חרמון מ""א 71",1960,,2,29,291,71,,,,,,,,530,,2685079910,,,,2019,,211
חרמש,3717,HERMESH,7,71,,72,,1,224,224,203,,1982,370,9,2114170327,239,710,15004488,2019,Hermesh,
חרשים,1209,HARASHIM,2,24,243,56,,1,333,333,316,,1980,370,19,2310076241,813,205,10004465,2019,Harashim,210
חשמונאים,3770,HASHMONA'IM,7,74,,73,,1,2771,2771,2765,,1985,190,,2023664873,252,711,10004054,2019,Hashmona'im,710
טבריה,6700,TIBERIAS,2,22,221,0,,1,44779,44083,41356,696,ותיק                ,160,,2494274368,8,207,10004552,2019,Tiberias,214
טובא-זנגרייה,962,TUBA-ZANGARIYYE,2,21,213,99,,2,6776,8,6,6768,,280,,2556276342,294,259,10004540,2019,Tuba-Zangariyye,211
טורעאן,498,TUR'AN,2,25,237,99,,2,14240,5,3,14235,,270,,2354674243,245,251,15002369,2019,Tur'an,214
טייבה,2730,TAYIBE,4,41,412,0,141,2,43957,52,25,43905,,260,,2008068569,63,402,10002155,2019,Tayibe,410
טייבה (בעמק),497,TAYIBE(BAEMEQ),2,23,233,8,,2,1865,5,5,1860,,450,,2420372335,105,204,10004394,2019,Tayibe(Baemeq),213
טירה,2720,TIRE,4,41,412,0,141,2,26552,66,22,26486,,260,,1958168225,61,403,10002155,2019,Tire,
טירת יהודה,663,TIRAT YEHUDA,4,42,422,25,142,1,1201,1201,1200,,1949,310,2,1938865787,57,424,10002168,2019,Tirat Yehuda,
טירת כרמל,2100,TIRAT KARMEL,3,31,311,0,223,1,23112,23021,21886,91,1949,160,,1976774079,44,355,10004710,2019,Tirat Karmel,
טירת צבי,268,TIRAT ZEVI,2,23,231,7,,1,901,901,901,,1937,330,3,2499570302,-219,202,10004568,2019,Tirat Zevi,214
טל-אל,1181,TAL-EL,2,24,243,56,241,1,1186,1186,1147,,1980,370,13,2170275899,116,205,10004315,2019,Tal-El,210
טל שחר,462,TAL SHAHAR,1,11,112,26,,1,1369,1369,1344,,1948,310,1,1908863475,118,151,15000597,2019,Tal Shahar,
טללים,1177,TELALIM,6,62,626,48,,1,543,543,523,,1980,330,15,1779654464,361,620,10001918,2019,Telalim,610
טלמון,3788,TALMON,7,74,,73,,1,4575,4575,4570,,1989,190,,2128164953,561,711,10004054,2019,Talmon,710
טמרה,8900,TAMRA,2,24,241,0,241,2,34393,40,19,34353,,260,,2180675104,94,263,15002411,2019,Tamra,
טמרה (יזרעאל),547,TAMRA (YIZRE'EL),2,23,233,8,,2,1601,1,,1600,,450,,2381772670,222,204,10004394,2019,Tamra (Yizre'el),213
טנא,3743,TENE,7,77,,78,,1,872,872,861,,1983,370,11,1959158706,554,715,15003512,2019,Tene,
טפחות,1214,TEFAHOT,2,21,214,2,,1,478,478,478,,1980,310,2,2398375265,82,209,10004552,2019,Tefahot,211
יאנוח-ג'ת,1295,YANUH-JAT,2,24,243,99,,2,6679,2,2,6677,,280,,2232776506,468,255,10004484,2019,Yanuh-Jat,
יבול,1232,YEVUL,6,62,622,38,,1,338,338,336,,1981,310,10,1349756676,85,651,10001893,2019,Yevul,620
יבנאל,46,YAVNE'EL,2,22,222,99,,1,4243,4242,4184,1,1901,190,,2475073496,12,251,10004552,2019,Yavne'el,
יבנה,2660,YAVNE,4,44,441,0,143,1,47585,47530,46253,55,1949,160,,1752164277,30,404,15002488,2019,Yavne,
יגור,96,YAGUR,3,31,311,12,223,1,1617,1617,1509,,1922,330,15,2075573859,16,301,10004207,2019,Yagur,
יגל,798,YAGEL,4,43,432,40,133,1,918,918,917,,1950,310,1,1887165509,40,425,10002261,2019,Yagel,
יד בנימין,577,YAD BINYAMIN,4,44,441,31,143,1,4268,4268,4266,,1949,190,,1832563395,62,456,15002488,2019,Yad Binyamin,420
יד השמונה,1134,YAD HASHEMONA,1,11,111,26,444,1,299,299,140,,1978,320,10,2085863523,675,151,10002475,2019,Yad HaShemona,
יד חנה,758,YAD HANNA,4,41,412,16,141,1,968,966,945,2,1950,330,15,2007869249,53,409,10002155,2019,Yad Hanna,
יד מרדכי,358,YAD MORDEKHAY,6,61,614,36,,1,737,736,712,1,1943,330,15,1581461092,42,633,10001829,2019,Yad Mordekhay,
יד נתן,775,YAD NATAN,6,61,612,50,,1,666,663,657,3,1953,310,6,1721361789,76,634,10001813,2019,Yad Natan,
"יד רמב""ם",64,YAD RAMBAM,4,43,432,30,143,1,1125,1125,1099,,1955,310,2,1907264528,82,426,10002228,2019,Yad Rambam             ,
ידידה,1144,YEDIDA,1,11,111,26,444,1,208,208,206,,1964,340,,2100963561,729,151,10002475,2019,Yedida,
יהוד,9400,YEHUD,4,42,422,0,132,1,29929,29886,29353,43,1948,160,,1893966002,40,411,10001516,2019,Yehud,
יהל,1158,YAHEL,6,62,625,53,,1,218,218,198,,1976,330,15,2121144384,194,608,10001955,2019,Yahel,
יובל,2009,YUVAL,2,21,211,55,,1,637,634,632,3,1952,310,1,2561279464,245,253,10004591,2019,Yuval,211
יובלים,1226,YUVALLIM,2,24,241,56,241,1,1093,1093,1084,,1982,370,7,2256175375,189,205,10004513,2019,Yuvallim,210
יודפת,1112,YODEFAT,2,24,241,56,241,1,907,906,865,1,1960,320,15,2257774918,430,205,10004513,2019,Yodefat,210
יונתן,4007,YONATAN,2,29,293,71,,1,745,745,745,,1976,320,2,2746276049,548,219,10004579,2019,Yonatan,211
יושיביה,803,YOSHIVYA,6,62,621,39,,1,683,682,681,1,1950,310,2,1628759479,131,651,10001930,2019,Yoshivya,620
יזרעאל,452,YIZRE'EL,2,23,234,8,,1,553,553,527,,1948,330,15,2304071866,87,204,10004394,2019,Yizre'el ,213
יחיעם,409,YEHI'AM,2,24,243,4,,1,728,728,708,,1946,330,15,2209876686,357,201,10004302,2019,Yehi'am,212
יטבתה,866,YOTVATA,6,62,625,53,,1,717,717,698,,1951,330,15,2055242295,86,608,10001955,2019,Yotvata,
"ייט""ב",3607,YITAV,7,75,,75,,1,359,359,336,,1970,320,15,2401765051,-108,712,10003299,2019,Yitav,710
יכיני,811,YAKHINI,6,61,614,37,,1,734,733,730,1,1950,310,1,1619959912,129,651,10001829,2019,Yakhini,620
ים המלח - בתי מלון,1772, ,6,62,624,51,,,,,,,,520,,2345056749,-378,656,10001911,2019,,
ינוב,753,YANUV,4,41,411,18,141,1,936,936,924,,1950,310,1,1954569033,46,412,15000060,2019,Yanuv,
ינון,2011,YINNON,6,61,611,33,143,1,1196,1194,1190,2,1952,310,1,1793762785,66,616,10001821,2019,Yinnon,420
יסוד המעלה,29,YESUD HAMA'ALA,2,21,211,99,,1,1730,1730,1695,,1883,350,,2566777360,95,259,10004540,2019,Yesud HaMa'ala,211
יסודות,440,YESODOT,4,44,441,31,143,1,924,924,924,,1948,320,8,1873363588,100,456,15002488,2019,Yesodot,420
יסעור,575,YAS'UR,2,24,246,4,241,1,867,862,843,5,1949,330,15,2158075625,22,201,10004315,2019,Yas'ur,212
